Epoch,Time(s),Train_Loss,Val_Loss,LR,Train_RMSE,Train_MAE,Train_R2,Val_RMSE,Val_MAE,Val_R2
41,122.00,0.000042,0.000078,6.00e-05,0.0059,0.0044,0.7140,0.0080,0.0062,0.6475
42,117.33,0.000038,0.000074,6.00e-05,0.0056,0.0042,0.7221,0.0078,0.0060,0.6552
43,115.99,0.000037,0.000081,6.00e-05,0.0056,0.0041,0.7240,0.0081,0.0063,0.6465
44,120.34,0.000037,0.000085,4.20e-05,0.0055,0.0041,0.7257,0.0083,0.0064,0.6347
45,113.14,0.000037,0.000095,4.20e-05,0.0055,0.0041,0.7284,0.0087,0.0068,0.6270
46,118.30,0.000037,0.000094,4.20e-05,0.0055,0.0041,0.7292,0.0087,0.0068,0.6219
47,119.51,0.000036,0.000094,4.20e-05,0.0055,0.0041,0.7299,0.0087,0.0067,0.6229
48,118.94,0.000036,0.000102,2.94e-05,0.0055,0.0041,0.7303,0.0091,0.0071,0.5997
49,118.10,0.000036,0.000101,2.94e-05,0.0055,0.0041,0.7317,0.0090,0.0070,0.6168
50,118.80,0.000036,0.000101,2.94e-05,0.0055,0.0040,0.7315,0.0090,0.0070,0.6100
51,119.56,0.000036,0.000101,8.00e-06,0.0055,0.0040,0.7336,0.0090,0.0070,0.6058
52,117.24,0.000036,0.000100,8.00e-06,0.0054,0.0040,0.7336,0.0090,0.0070,0.6070
53,116.69,0.000036,0.000099,8.00e-06,0.0054,0.0040,0.7337,0.0090,0.0070,0.6066
54,115.80,0.000036,0.000101,5.60e-06,0.0054,0.0040,0.7338,0.0090,0.0070,0.6060
55,116.42,0.000036,0.000103,5.60e-06,0.0054,0.0040,0.7340,0.0091,0.0071,0.6002
56,115.61,0.000036,0.000102,5.60e-06,0.0054,0.0040,0.7339,0.0091,0.0070,0.6073
57,116.09,0.000036,0.000104,5.60e-06,0.0054,0.0040,0.7340,0.0091,0.0071,0.6017
58,115.11,0.000036,0.000100,3.92e-06,0.0054,0.0040,0.7341,0.0090,0.0070,0.6089
59,122.54,0.000036,0.000102,3.92e-06,0.0054,0.0040,0.7342,0.0091,0.0071,0.6060
60,121.83,0.000036,0.000102,3.92e-06,0.0054,0.0040,0.7342,0.0091,0.0071,0.6023
