Epoch,Time(s),Train_Loss,Val_Loss,LR,Train_RMSE,Train_MAE,Train_R2,Val_RMSE,Val_MAE,Val_R2
1,392.96,0.000846,0.000184,1.00e-03,0.0290,0.0145,-112.5568,0.0121,0.0096,0.4374
2,360.80,0.000076,0.000125,1.00e-03,0.0081,0.0063,-0.0622,0.0101,0.0079,0.2817
3,363.79,0.000054,0.000120,1.00e-03,0.0068,0.0052,0.4054,0.0099,0.0077,0.4120
4,372.12,0.000044,0.000116,1.00e-03,0.0060,0.0046,0.5991,0.0097,0.0076,0.5179
5,367.94,0.000039,0.000109,1.00e-03,0.0057,0.0043,0.6707,0.0094,0.0073,0.5424
6,365.86,0.000037,0.000107,1.00e-03,0.0055,0.0041,0.6843,0.0093,0.0071,0.5821
7,375.35,0.000035,0.000102,1.00e-03,0.0054,0.0040,0.6959,0.0091,0.0070,0.5791
8,366.00,0.000034,0.000104,1.00e-03,0.0053,0.0039,0.7011,0.0092,0.0072,0.5343
9,338.14,0.000033,0.000098,1.00e-03,0.0052,0.0039,0.7059,0.0089,0.0069,0.5838
10,336.63,0.000031,0.000102,1.00e-03,0.0051,0.0038,0.7094,0.0091,0.0069,0.5639
11,336.11,0.000030,0.000106,1.00e-03,0.0050,0.0037,0.7136,0.0093,0.0071,0.6011
12,366.29,0.000028,0.000107,6.00e-04,0.0048,0.0036,0.7290,0.0093,0.0071,0.5904
13,359.62,0.000027,0.000110,6.00e-04,0.0047,0.0035,0.7323,0.0094,0.0074,0.5731
14,367.74,0.000024,0.000105,1.00e-04,0.0045,0.0033,0.7509,0.0092,0.0071,0.6010
15,346.69,0.000024,0.000109,1.00e-04,0.0045,0.0033,0.7517,0.0094,0.0073,0.5959
16,340.96,0.000023,0.000109,7.30e-05,0.0044,0.0033,0.7522,0.0094,0.0073,0.5970
17,342.82,0.000023,0.000111,7.30e-05,0.0044,0.0032,0.7538,0.0094,0.0073,0.5963
18,343.35,0.000023,0.000110,7.30e-05,0.0044,0.0032,0.7540,0.0094,0.0073,0.6013
19,340.40,0.000023,0.000107,5.33e-05,0.0044,0.0032,0.7544,0.0093,0.0072,0.6066
20,337.06,0.000022,0.000110,5.33e-05,0.0043,0.0032,0.7555,0.0094,0.0073,0.5980
21,338.14,0.000022,0.000109,5.33e-05,0.0043,0.0032,0.7557,0.0093,0.0073,0.6029
22,353.92,0.000022,0.000110,3.89e-05,0.0043,0.0032,0.7560,0.0094,0.0073,0.6023
23,373.25,0.000022,0.000112,3.89e-05,0.0043,0.0032,0.7567,0.0095,0.0073,0.6020
